Gene,Gene Symbol,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of log2(FC),-log10(FDR P),FC
ENSMUSG00000031608,Galnt7,Age,18,1,-0.0522,0.6710,-1.3674,1.2629,0.01,0.9380,0.9999208275,-0.075356217,0.9680452587,0.0000343855,0.9491077469
ENSMUSG00000031609,Sap30,Age,18,1,-0.1526,0.5940,-1.3168,1.0116,0.07,0.7972,0.9981578959,-0.220221835,0.8569443657,0.0008007534,0.8584334296
ENSMUSG00000031610,Scrg1,Age,18,1,-0.2466,0.5103,-1.2467,0.7536,0.23,0.6290,0.992830538,-0.355697086,0.7362288197,0.003124873,0.781491948
ENSMUSG00000031613,Hpgd,Age,18,1,-0.7542,1.0724,-2.8560,1.3476,0.49,0.4819,0.9682034341,-1.088106531,1.5471100108,0.0140333813,0.4703783189
ENSMUSG00000031617,Tmem184c,Age,18,1,-0.6752,1.0437,-2.7208,1.3704,0.42,0.5177,0.9760109909,-0.974151296,1.5057217626,0.0105452917,0.5090392138
ENSMUSG00000031618,Nr3c2,Age,18,1,1.0692,0.9506,-0.7939,2.9323,1.27,0.2607,0.8780517609,1.5425210518,1.3714030183,0.0564798818,2.9130309946
ENSMUSG00000031622,Sin3b,Age,18,1,-0.1281,0.1860,-0.4926,0.2364,0.47,0.4910,0.9709328546,-0.184796159,0.2683271,0.0128108029,0.8797733719
ENSMUSG00000031626,Sorbs2,Age,18,1,-0.0024,1.8253,-3.5798,3.5751,0.00,0.9990,0.9999208275,-0.003392513,2.6332879849,0.0000343855,0.9976512516
ENSMUSG00000031627,Irf2,Age,18,1,-0.1203,0.1710,-0.4554,0.2148,0.50,0.4816,0.9682034341,-0.173595754,0.2466549209,0.0140333813,0.8866301001
ENSMUSG00000031628,Casp3,Age,18,1,-0.5576,0.2639,-1.0749,-0.0403,4.46,0.0346,0.5242694987,-0.804502458,0.3807698012,0.2804454083,0.5725595049
ENSMUSG00000031629,Cenpu,Age,18,1,-0.2497,0.8399,-1.8958,1.3964,0.09,0.7662,0.9981578959,-0.360225057,1.2116908961,0.0008007534,0.7790430414
ENSMUSG00000031631,Cfap97,Age,18,1,0.2868,0.4034,-0.5039,1.0774,0.51,0.4772,0.9682034341,0.4136983385,0.5819824725,0.0140333813,1.3320962602
ENSMUSG00000031633,Slc25a4,Age,18,1,0.1604,0.1900,-0.2120,0.5327,0.71,0.3986,0.9435213506,0.2313452633,0.2740933591,0.0252482679,1.1739290873
ENSMUSG00000031634,Ufsp2,Age,18,1,-0.2174,0.2387,-0.6852,0.2503,0.83,0.3623,0.9290965379,-0.313696171,0.344328267,0.0319391582,0.8045777957
ENSMUSG00000031641,Cbr4,Age,18,1,0.6449,0.5382,-0.4100,1.6999,1.44,0.2309,0.8604318869,0.9304050214,0.7765254632,0.0652835034,1.9058109573
ENSMUSG00000031642,Sh3rf1,Age,18,1,-0.4679,1.1036,-2.6309,1.6952,0.18,0.6716,0.995805013,-0.674972931,1.5922078975,0.0018256918,0.6263439712
ENSMUSG00000031644,Nek1,Age,18,1,-1.3693,0.6066,-2.5582,-0.1804,5.10,0.0240,0.4734877524,-1.975426708,0.8751330213,0.3246912503,0.2542946987
ENSMUSG00000031647,Mfap3l,Age,18,1,-0.5508,0.3022,-1.1430,0.0415,3.32,0.0683,0.6424091059,-0.794620692,0.4359431583,0.1921883117,0.5764947232
ENSMUSG00000031651,Triml1,Age,18,1,-0.0188,1.4106,-2.7835,2.7459,0.00,0.9894,0.9999208275,-0.027134831,2.0350417106,0.0000343855,0.9813673433
ENSMUSG00000031652,N4bp1,Age,18,1,0.4726,0.2393,0.0036,0.9417,3.90,0.0483,0.5815980134,0.6818626113,0.3452536879,0.2353770856,1.6042095556
ENSMUSG00000031657,Heatr3,Age,18,1,-0.3275,0.5265,-1.3594,0.7044,0.39,0.5339,0.9783070388,-0.472516952,0.7595631458,0.0095248218,0.7207061433
ENSMUSG00000031659,Adcy7,Age,18,1,0.3052,0.4033,-0.4851,1.0956,0.57,0.4491,0.961058878,0.4403619857,0.5817714634,0.017250005,1.3569447549
ENSMUSG00000031660,Brd7,Age,18,1,0.1256,0.2003,-0.2670,0.5181,0.39,0.5308,0.9775037449,0.1811314222,0.2889586494,0.0098815701,1.133772689
ENSMUSG00000031662,Snx20,Age,18,1,0.0460,0.2112,-0.3678,0.4599,0.05,0.8274,0.9987722584,0.0664084429,0.3046321422,0.000533529,1.0471066875
ENSMUSG00000031666,Rbl2,Age,18,1,0.0974,0.5198,-0.9213,1.1161,0.04,0.8513,0.9993708756,0.1405241083,0.7498629686,0.0002733112,1.1023054933
ENSMUSG00000031667,Aktip,Age,18,1,0.3530,0.4102,-0.4510,1.1571,0.74,0.3895,0.9402736365,0.5093315881,0.5918299927,0.0267457405,1.4233905748
ENSMUSG00000031668,Eif2ak3,Age,18,1,0.7193,0.3306,0.0713,1.3672,4.73,0.0296,0.5012068267,1.037688288,0.4769503304,0.2999830223,2.0529354816
ENSMUSG00000031669,Gins3,Age,18,1,-0.6041,0.6584,-1.8946,0.6864,0.84,0.3589,0.9287672741,-0.871489212,0.9499098235,0.0320930957,0.5465823536
ENSMUSG00000031671,Setd6,Age,18,1,0.1392,0.5008,-0.8423,1.1207,0.08,0.7810,0.9981578959,0.2008103993,0.7224581845,0.0008007534,1.14934379
ENSMUSG00000031672,Got2,Age,18,1,0.2782,0.1833,-0.0811,0.6375,2.30,0.1291,0.7484353591,0.401329159,0.2644523804,0.1258457029,1.3207241373
ENSMUSG00000031673,Cdh11,Age,18,1,3.5401,2.2986,-0.9651,8.0453,2.37,0.1235,0.741932826,5.1072776569,3.3161900246,0.1296354136,34.470197433
ENSMUSG00000031681,Smad1,Age,18,1,-0.3338,0.6752,-1.6573,0.9896,0.24,0.6210,0.992830538,-0.481617165,0.9741668895,0.003124873,0.7161743901
ENSMUSG00000031683,Lsm6,Age,18,1,-0.1093,0.2141,-0.5288,0.3103,0.26,0.6097,0.9914276754,-0.157644876,0.3088287677,0.0037389621,0.8964873459
ENSMUSG00000031684,Slc10a7,Age,18,1,0.6068,0.5808,-0.5314,1.7451,1.09,0.2961,0.8919959338,0.8754621545,0.8378467501,0.0496371254,1.8345956886
ENSMUSG00000031691,Tnpo2,Age,18,1,-0.6912,0.3506,-1.3784,-0.0039,3.89,0.0487,0.5823702729,-0.997185514,0.5058700862,0.2348008017,0.5009763786
ENSMUSG00000031696,Vps35,Age,18,1,-0.0360,0.2289,-0.4846,0.4126,0.02,0.8749,0.9999208275,-0.051990788,0.330203241,0.0000343855,0.9646043438
ENSMUSG00000031697,Orc6,Age,18,1,0.3065,0.7147,-1.0942,1.7073,0.18,0.6680,0.995805013,0.442241224,1.0310403236,0.0018256918,1.3587134475
ENSMUSG00000031698,Mylk3,Age,18,1,-0.2603,0.5241,-1.2875,0.7669,0.25,0.6194,0.992830538,-0.375504093,0.7561035902,0.003124873,0.7708360276
ENSMUSG00000031700,Gpt2,Age,18,1,-0.0072,1.1200,-2.2025,2.1880,0.00,0.9949,0.9999208275,-0.010407166,1.6158752383,0.0000343855,0.9928122583
ENSMUSG00000031701,Dnaja2,Age,18,1,-0.3367,0.2176,-0.7631,0.0897,2.39,0.1217,0.7385201101,-0.485738277,0.3138844733,0.1316376742,0.7141315304
ENSMUSG00000031703,Itfg1,Age,18,1,-0.1180,0.2119,-0.5334,0.2974,0.31,0.5777,0.9862796008,-0.170247018,0.3057516472,0.0059999493,0.8886905067
ENSMUSG00000031706,Rfx1,Age,18,1,0.3126,0.1808,-0.0418,0.6671,2.99,0.0838,0.6782910617,0.4510382505,0.2608840647,0.1685839059,1.3670236956
ENSMUSG00000031708,Tecr,Age,18,1,0.4009,0.2415,-0.0725,0.8743,2.76,0.0969,0.6985960391,0.5784178783,0.3484624882,0.1557738811,1.4932108309
