Gene,Gene Symbol,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of log2(FC),-log10(FDR P),FC
ENSMUSG00000020211,Sf3a2,Age,18,1,0.5263,0.3008,-0.0633,1.1159,3.06,0.0802,0.675881161,0.7592405544,0.4339993704,0.1701296586,1.692599393
ENSMUSG00000020212,Mdm1,Age,18,1,-0.6969,0.7843,-2.2341,0.8403,0.79,0.3743,0.9331891047,-1.005376322,1.1315233807,0.0300303404,0.4981401763
ENSMUSG00000020219,Timm13,Age,18,1,0.2712,0.3110,-0.3383,0.8807,0.76,0.3831,0.9369369259,0.3913015011,0.4486425061,0.0282896446,1.3115760849
ENSMUSG00000020220,Vps13d,Age,18,1,0.2114,0.2732,-0.3241,0.7470,0.60,0.4390,0.9583314091,0.305037091,0.3941851665,0.0184842777,1.2354503995
ENSMUSG00000020224,Llph,Age,18,1,0.0790,0.3879,-0.6813,0.8393,0.04,0.8386,0.9993708756,0.1139743177,0.5596489107,0.0002733112,1.0822053794
ENSMUSG00000020225,Tmbim4,Age,18,1,-0.3756,0.2056,-0.7786,0.0274,3.34,0.0678,0.6416867458,-0.541881687,0.2966563073,0.1926769311,0.686874444
ENSMUSG00000020227,Irak3,Age,18,1,-0.1665,0.1913,-0.5414,0.2084,0.76,0.3840,0.9377798125,-0.24022473,0.2759302222,0.0278991205,0.8466134242
ENSMUSG00000020228,Helb,Age,18,1,-0.6689,0.5266,-1.7011,0.3632,1.61,0.2040,0.8350194089,-0.965067619,0.7597717834,0.0783034298,0.5122544017
ENSMUSG00000020230,Prmt2,Age,18,1,-0.2825,0.2073,-0.6888,0.1237,1.86,0.1729,0.8069428664,-0.407597051,0.2990456292,0.0931572134,0.7538779859
ENSMUSG00000020231,Dip2a,Age,18,1,0.3282,1.2865,-2.1933,2.8498,0.07,0.7986,0.9981578959,0.4735492758,1.8560525288,0.0008007534,1.3885212687
ENSMUSG00000020232,Hmg20b,Age,18,1,0.0450,0.2355,-0.4165,0.5065,0.04,0.8484,0.9993708756,0.0649340973,0.3396882776,0.0002733112,1.0460371554
ENSMUSG00000020234,4930404N11Rik,Age,18,1,0.0666,1.0333,-1.9586,2.0919,0.00,0.9486,0.9999208275,0.0961397119,1.4907743015,0.0000343855,1.0689095003
ENSMUSG00000020235,Fzr1,Age,18,1,0.0909,0.2744,-0.4469,0.6286,0.11,0.7405,0.9978539623,0.1310769259,0.395837863,0.0009330138,1.0951108616
ENSMUSG00000020238,Ncln,Age,18,1,0.2006,0.1548,-0.1029,0.5040,1.68,0.1952,0.826846474,0.2893456867,0.2233480785,0.0825751212,1.2220858927
ENSMUSG00000020246,Hcfc2,Age,18,1,0.3956,0.7840,-1.1410,1.9323,0.25,0.6138,0.9919773703,0.5707741962,1.131090886,0.0034982352,1.4853204272
ENSMUSG00000020248,Nfyb,Age,18,1,-0.3049,0.4213,-1.1307,0.5209,0.52,0.4693,0.9682034341,-0.439904332,0.6078589001,0.0140333813,0.7371834911
ENSMUSG00000020250,Txnrd1,Age,18,1,0.6578,0.2376,0.1921,1.1235,7.66,0.0056,0.288221249,0.9489804217,0.3427828984,0.5402740041,1.9305078513
ENSMUSG00000020253,Ppm1m,Age,18,1,0.2141,0.1487,-0.0774,0.5056,2.07,0.1501,0.7810903117,0.3088216518,0.2145674768,0.107298749,1.2386955589
ENSMUSG00000020255,D10Wsu102e,Age,18,1,1.0502,0.2670,0.5270,1.5735,15.48,<.0001,0.0380909035,1.5151793689,0.3851618642,1.4191787262,2.8583436325
ENSMUSG00000020256,Aldh1l2,Age,18,0,25.1555,0.0000,25.1555,25.1555,,,,36.29176346,0,,84121962702
ENSMUSG00000020257,Wdr82,Age,18,1,-0.0075,0.2662,-0.5291,0.5142,0.00,0.9777,0.9999208275,-0.010749389,0.3839735716,0.0000343855,0.9925767805
ENSMUSG00000020258,Glyctk,Age,18,1,0.1706,0.7813,-1.3606,1.7018,0.05,0.8272,0.9986706461,0.246105611,1.127106181,0.0005777152,1.1860013163
ENSMUSG00000020260,Pofut2,Age,18,1,-0.0170,0.2584,-0.5234,0.4894,0.00,0.9475,0.9999208275,-0.024551101,0.372732057,0.0000343855,0.9831264537
ENSMUSG00000020261,Slc36a1,Age,18,1,-0.4108,0.4552,-1.3029,0.4812,0.81,0.3667,0.9291654453,-0.592718397,0.6566439566,0.0319069495,0.663092298
ENSMUSG00000020262,Adarb1,Age,18,1,-0.1368,0.4487,-1.0163,0.7426,0.09,0.7604,0.9981578959,-0.197405877,0.6473450768,0.0008007534,0.8721173165
ENSMUSG00000020263,Appl2,Age,18,1,0.2981,0.7411,-1.1546,1.7507,0.16,0.6876,0.995805013,0.4300140427,1.0692515206,0.0018256918,1.3472466904
ENSMUSG00000020265,Sumo3,Age,18,1,0.2029,0.3232,-0.4305,0.8363,0.39,0.5302,0.9775037449,0.2926680219,0.466226462,0.0098815701,1.2249034373
ENSMUSG00000020267,Hint1,Age,18,1,0.1759,0.1998,-0.2156,0.5675,0.78,0.3785,0.9343715721,0.2538075898,0.2882169723,0.0294803833,1.1923498397
ENSMUSG00000020268,Lyrm7,Age,18,1,0.8330,0.9175,-0.9651,2.6312,0.82,0.3639,0.9290965379,1.2018297969,1.3236068878,0.0319391582,2.3003123895
ENSMUSG00000020271,Fbxw11,Age,18,1,-0.4265,0.2657,-0.9474,0.0943,2.58,0.1085,0.7147225402,-0.615320949,0.3833929725,0.1458625213,0.6527846556
ENSMUSG00000020272,Stk10,Age,18,1,0.1889,0.1574,-0.1195,0.4974,1.44,0.2299,0.8600453998,0.2725921117,0.2270457989,0.0654786228,1.207976268
ENSMUSG00000020273,Papolg,Age,18,1,-0.3749,0.5472,-1.4473,0.6975,0.47,0.4932,0.9709962283,-0.540850982,0.789389096,0.0127824571,0.6873653433
ENSMUSG00000020275,Rel,Age,18,1,-0.1217,0.3546,-0.8167,0.5733,0.12,0.7314,0.9974271605,-0.175591333,0.5115929254,0.0011188099,0.8854045346
ENSMUSG00000020277,Pfkl,Age,18,1,0.5364,0.1822,0.1793,0.8935,8.67,0.0032,0.2261315839,0.7738534909,0.2628582021,0.6456387753,1.7098307097
ENSMUSG00000020279,Il9r,Age,18,1,0.2478,0.5172,-0.7660,1.2615,0.23,0.6320,0.992830538,0.3574330723,0.7462330601,0.003124873,1.2811443812
ENSMUSG00000020280,Pus10,Age,18,1,0.5527,1.0272,-1.4606,2.5661,0.29,0.5905,0.9877546297,0.7974375881,1.4819989801,0.0053509261,1.7380114518
ENSMUSG00000020282,Rhbdf1,Age,18,1,-0.2016,0.5955,-1.3689,0.9656,0.11,0.7349,0.9978539623,-0.290882596,0.8591918926,0.0009330138,0.8174018444
ENSMUSG00000020283,Pex13,Age,18,1,0.7555,0.6971,-0.6107,2.1217,1.17,0.2784,0.8853586091,1.0899555421,1.0056357311,0.0528807853,2.128674767
ENSMUSG00000020284,1810043G02Rik,Age,18,1,-0.1864,0.3228,-0.8190,0.4462,0.33,0.5636,0.982949158,-0.268917936,0.4656645411,0.007468945,0.8299417936
ENSMUSG00000020287,Mpg,Age,18,1,0.2974,0.4019,-0.4904,1.0852,0.55,0.4594,0.9641861136,0.4289964294,0.5798845297,0.0158391276,1.3462967373
ENSMUSG00000020288,Ahsa2,Age,18,1,0.2292,0.2753,-0.3104,0.7688,0.69,0.4051,0.9462032355,0.330692277,0.397180574,0.0240155712,1.257616697
ENSMUSG00000020289,Nprl3,Age,18,1,-0.2115,0.2368,-0.6756,0.2525,0.80,0.3716,0.9312818103,-0.30519771,0.3416081442,0.0309188795,0.8093312966
ENSMUSG00000020290,Xpo1,Age,18,1,-0.1153,0.4397,-0.9771,0.7466,0.07,0.7932,0.9981578959,-0.166300393,0.6343824168,0.0008007534,0.8911249293
ENSMUSG00000020295,Hbq1a,Age,18,1,-0.2985,0.3021,-0.8906,0.2935,0.98,0.3230,0.909902919,-0.43069884,0.4358065724,0.0410049418,0.7419023216
ENSMUSG00000020297,Nsg2,Age,18,1,-0.0910,0.5276,-1.1251,0.9430,0.03,0.8630,0.9999208275,-0.131354628,0.761180846,0.0000343855,0.9129738046
ENSMUSG00000020300,Cpeb4,Age,18,1,0.3672,0.3248,-0.2693,1.0037,1.28,0.2581,0.876918908,0.5298137579,0.4685231855,0.0570405656,1.4437428061
ENSMUSG00000020305,Asb3,Age,18,1,-0.6505,0.4459,-1.5244,0.2235,2.13,0.1446,0.773247449,-0.93843879,0.643314213,0.1116815041,0.5217972369
ENSMUSG00000020307,Cdc34,Age,18,1,-0.2627,0.1134,-0.4850,-0.0405,5.37,0.0205,0.444624137,-0.379064136,0.163582592,0.3520069647,0.7689362315
ENSMUSG00000020308,Tpgs1,Age,18,1,0.1195,0.2474,-0.3654,0.6045,0.23,0.6290,0.992830538,0.1724415796,0.3569679794,0.003124873,1.1269641165
ENSMUSG00000020309,Chac2,Age,18,1,0.0223,0.4407,-0.8414,0.8860,0.00,0.9596,0.9999208275,0.0321924908,0.6357434609,0.0000343855,1.0225649567
ENSMUSG00000020311,Erlec1,Age,18,1,-0.4411,0.2493,-0.9298,0.0476,3.13,0.0769,0.667251835,-0.636388721,0.3597174333,0.1757102232,0.6433212631
ENSMUSG00000020315,Sptbn1,Age,18,1,-0.2920,0.1847,-0.6541,0.0700,2.50,0.1139,0.7226500501,-0.421303079,0.2665065479,0.1410719629,0.7467498359
ENSMUSG00000020319,Wdpcp,Age,18,1,-0.2413,0.4742,-1.1707,0.6882,0.26,0.6109,0.9916587592,-0.34807677,0.6841398535,0.0036377477,0.7856307096
ENSMUSG00000020321,Mdh1,Age,18,1,0.0071,0.2004,-0.3857,0.3998,0.00,0.9719,0.9999208275,0.0101821549,0.289111606,0.0000343855,1.0070826965
ENSMUSG00000020323,Prss57,Age,18,1,-0.1874,1.0984,-2.3403,1.9655,0.03,0.8645,0.9999208275,-0.270393136,1.5847058689,0.0000343855,0.8290935863
ENSMUSG00000020325,Fstl3,Age,18,1,0.3502,0.7481,-1.1161,1.8165,0.22,0.6397,0.9932716137,0.5052842307,1.0793124782,0.0029319759,1.4194029705
ENSMUSG00000020326,Ccng1,Age,18,1,0.0415,0.2205,-0.3907,0.4737,0.04,0.8509,0.9993708756,0.0598199967,0.3181420651,0.0002733112,1.0423357018
ENSMUSG00000020328,Nudcd2,Age,18,1,0.5702,0.6499,-0.7036,1.8439,0.77,0.3803,0.9355845331,0.8225656738,0.9375783036,0.0289169665,1.7685483655
ENSMUSG00000020329,Polrmt,Age,18,1,0.4680,0.3296,-0.1781,1.1141,2.02,0.1557,0.784294266,0.6751939794,0.475560374,0.1055209601,1.5968114597
ENSMUSG00000020330,Hmmr,Age,18,1,-0.2376,0.6899,-1.5898,1.1146,0.12,0.7305,0.9969633643,-0.342836621,0.9953249512,0.0013208005,0.7884894618
ENSMUSG00000020331,Hcn2,Age,18,1,0.0266,1.4084,-2.7339,2.7870,0.00,0.9850,0.9999208275,0.0383170915,2.0318934891,0.0000343855,1.0269152278
ENSMUSG00000020334,Slc22a4,Age,18,1,0.0318,0.4456,-0.8416,0.9052,0.01,0.9431,0.9999208275,0.0459102227,0.6428892001,0.0000343855,1.0323342925
ENSMUSG00000020340,Cyfip2,Age,18,1,0.4160,0.2036,0.0169,0.8151,4.17,0.0410,0.5605136398,0.6001681928,0.2937411274,0.2514138146,1.5158932826
ENSMUSG00000020346,Mgat1,Age,18,1,0.2633,0.1975,-0.1237,0.6503,1.78,0.1824,0.8180289654,0.3798312303,0.2848816317,0.0872313182,1.3011896304
ENSMUSG00000020349,Ppp2ca,Age,18,1,-0.0871,0.1153,-0.3132,0.1389,0.57,0.4498,0.9617685269,-0.125730856,0.1663572757,0.0169294389,0.9165396149
ENSMUSG00000020357,Flt4,Age,18,0,25.4291,0.0000,25.4291,25.4291,,,,36.686413589,0,,110588743526
ENSMUSG00000020358,Hnrnpab,Age,18,1,-0.1578,0.2203,-0.5895,0.2739,0.51,0.4736,0.9682034341,-0.227710088,0.3177705312,0.0140333813,0.853989308
ENSMUSG00000020359,Phykpl,Age,18,1,0.2832,0.4508,-0.6004,1.1667,0.39,0.5299,0.9775037449,0.4085334696,0.6503748448,0.0098815701,1.3273358627
ENSMUSG00000020361,Hspa4,Age,18,1,0.3830,0.2089,-0.0264,0.7924,3.36,0.0667,0.6410322249,0.5525055143,0.3013440045,0.1931201378,1.4666305684
ENSMUSG00000020362,Cnot6,Age,18,1,-0.1098,0.2448,-0.5896,0.3700,0.20,0.6538,0.995805013,-0.158382112,0.3531647908,0.0018256918,0.8960293461
ENSMUSG00000020363,Gfpt2,Age,18,1,-1.2419,1.5161,-4.2135,1.7296,0.67,0.4127,0.9481024727,-1.791716795,2.187298679,0.0231447208,0.2888281383
ENSMUSG00000020366,Mapk9,Age,18,1,-0.0148,0.4419,-0.8808,0.8512,0.00,0.9733,0.9999208275,-0.021344783,0.6374702001,0.0000343855,0.9853138334
ENSMUSG00000020368,Canx,Age,18,1,0.1778,0.2147,-0.2430,0.5987,0.69,0.4076,0.9471284144,0.256549574,0.3097656924,0.0235911341,1.1946181731
ENSMUSG00000020372,Rack1,Age,18,1,0.1808,0.1979,-0.2072,0.5687,0.83,0.3612,0.9290965379,0.2607687048,0.2855772545,0.0319391582,1.1981169219
ENSMUSG00000020375,Rufy1,Age,18,1,-0.0827,0.1654,-0.4069,0.2415,0.25,0.6171,0.9920443858,-0.119323138,0.2386639266,0.0034688963,0.9206194715
ENSMUSG00000020376,Rnf130,Age,18,1,-0.2005,0.2323,-0.6558,0.2548,0.74,0.3881,0.9401230403,-0.289247638,0.3351561973,0.0268153036,0.8183287039
ENSMUSG00000020377,Ltc4s,Age,18,1,1.1175,0.7477,-0.3479,2.5829,2.23,0.1350,0.7595200187,1.6122701167,1.0786502864,0.1194607749,3.0573254129
ENSMUSG00000020380,Rad50,Age,18,1,0.8166,0.4828,-0.1298,1.7629,2.86,0.0908,0.6871811998,1.1780413463,0.6965749812,0.1629287306,2.2626937715
ENSMUSG00000020381,Mrnip,Age,18,1,0.9476,1.0618,-1.1335,3.0286,0.80,0.3722,0.9316270694,1.3670472097,1.5318072805,0.0307579011,2.5794209071
ENSMUSG00000020385,Clk4,Age,18,1,0.1545,0.4948,-0.8153,1.1242,0.10,0.7549,0.9981578959,0.2228356119,0.7138220237,0.0008007534,1.1670251174
ENSMUSG00000020386,Sar1b,Age,18,1,-0.1457,0.3792,-0.8888,0.5975,0.15,0.7008,0.995805013,-0.210178074,0.5470092253,0.0018256918,0.8644305269
ENSMUSG00000020387,Jade2,Age,18,1,0.3986,0.1955,0.0154,0.7818,4.16,0.0415,0.5616860662,0.5750510948,0.2820839627,0.2505063496,1.4897302228
ENSMUSG00000020388,Pdlim4,Age,18,1,-0.4052,0.5376,-1.4589,0.6486,0.57,0.4511,0.9625644997,-0.584524068,0.7756252268,0.0165701596,0.6668692962
ENSMUSG00000020389,Cdkl3,Age,18,1,-0.0175,0.5030,-1.0033,0.9683,0.00,0.9723,0.9999208275,-0.02520242,0.7256262998,0.0000343855,0.9826827117
ENSMUSG00000020390,Ube2b,Age,18,1,-0.3288,0.4101,-1.1326,0.4749,0.64,0.4226,0.9530111335,-0.474411615,0.5916523741,0.0209020257,0.7197602754
ENSMUSG00000020392,Cdkn2aipnl,Age,18,1,0.2875,0.1880,-0.0809,0.6559,2.34,0.1261,0.7456890672,0.4147920124,0.2711958804,0.1274422242,1.3331064746
ENSMUSG00000020393,Kremen1,Age,18,1,-0.1204,0.5288,-1.1569,0.9160,0.05,0.8198,0.9981830775,-0.173766363,0.7628828997,0.0007897971,0.8865252556
ENSMUSG00000020395,Itk,Age,18,1,-0.2642,0.3514,-0.9530,0.4246,0.57,0.4522,0.9627817031,-0.381164503,0.5069951713,0.0164721717,0.7678175798
ENSMUSG00000020396,Nefh,Age,18,1,0.1636,0.5843,-0.9816,1.3088,0.08,0.7795,0.9981578959,0.2360190705,0.8429609514,0.0008007534,1.1777383576
ENSMUSG00000020397,Med7,Age,18,1,0.5462,0.5746,-0.5799,1.6723,0.90,0.3418,0.916675247,0.7879950069,0.8289080885,0.0377844958,1.7266731412
ENSMUSG00000020399,Havcr2,Age,18,1,-0.5534,0.5517,-1.6347,0.5279,1.01,0.3158,0.9045530061,-0.798412426,0.7959223628,0.0435659787,0.5749815522
ENSMUSG00000020400,Tnip1,Age,18,1,0.1834,0.1577,-0.1256,0.4925,1.35,0.2447,0.8730731093,0.2646498357,0.2275071116,0.0589493879,1.2013444293
ENSMUSG00000020401,Fam71b,Age,18,1,0.7956,0.9209,-1.0093,2.6005,0.75,0.3876,0.940051835,1.1477993139,1.3285307777,0.0268481985,2.2157564514
ENSMUSG00000020402,Vdac1,Age,18,1,-0.3601,0.1810,-0.7148,-0.0053,3.96,0.0467,0.5774803552,-0.51946841,0.2611440052,0.2384627851,0.6976288413
ENSMUSG00000020407,Upp1,Age,18,1,-0.0630,0.4787,-1.0012,0.8751,0.02,0.8952,0.9999208275,-0.090924617,0.6905583194,0.0000343855,0.9389208058
ENSMUSG00000020409,Slu7,Age,18,1,0.2881,0.2171,-0.1375,0.7136,1.76,0.1846,0.81885889,0.4156073043,0.313224354,0.0867909317,1.333860049
ENSMUSG00000020412,Ascc2,Age,18,1,0.3703,0.2228,-0.0663,0.8070,2.76,0.0965,0.697518549,0.5342400188,0.3214127553,0.1564442388,1.4481790835
ENSMUSG00000020413,Hus1,Age,18,1,0.4354,0.4979,-0.5405,1.4113,0.76,0.3819,0.9359948473,0.6281620837,0.7183198422,0.0287265421,1.5455947338
ENSMUSG00000020415,Pttg1,Age,18,1,-0.1404,0.2904,-0.7095,0.4288,0.23,0.6288,0.992830538,-0.202526751,0.4189364887,0.003124873,0.8690272063
ENSMUSG00000020419,Hormad2,Age,18,1,-0.0330,1.0274,-2.0466,1.9806,0.00,0.9744,0.9999208275,-0.047613975,1.4821953441,0.0000343855,0.9675351804
ENSMUSG00000020420,Zfp607a,Age,18,1,0.2639,0.6144,-0.9404,1.4682,0.18,0.6676,0.995805013,0.3807401313,0.8864519805,0.0018256918,1.302009641
ENSMUSG00000020422,Tns3,Age,18,1,-0.9478,0.4201,-1.7712,-0.1244,5.09,0.0241,0.4738121476,-1.367404448,0.6061023241,0.3243938091,0.3875879309
ENSMUSG00000020423,Btg2,Age,18,1,-0.0236,0.2297,-0.4739,0.4266,0.01,0.9181,0.9999208275,-0.034093797,0.3314204121,0.0000343855,0.9766450304
ENSMUSG00000020424,Gatsl3,Age,18,1,-0.4808,0.5573,-1.5731,0.6116,0.74,0.3883,0.9402736365,-0.69361715,0.8040595488,0.0267457405,0.6183016883
ENSMUSG00000020430,Pes1,Age,18,1,0.0455,0.1851,-0.3172,0.4083,0.06,0.8057,0.9981830775,0.0656871794,0.2670277041,0.0007897971,1.046583326
ENSMUSG00000020432,Tcn2,Age,18,1,0.2468,0.1946,-0.1345,0.6282,1.61,0.2046,0.8354455103,0.3561274758,0.2807149367,0.0780818705,1.2799855077
ENSMUSG00000020435,Osbp2,Age,18,1,2.7663,1.2879,0.2420,5.2905,4.61,0.0317,0.5087731883,3.9909013811,1.858055962,0.2934757835,15.899410613
ENSMUSG00000020437,Myo1g,Age,18,1,0.2898,0.1559,-0.0157,0.5954,3.46,0.0630,0.6299165591,0.4181486776,0.2248904122,0.2007169749,1.3362117752
ENSMUSG00000020439,Smtn,Age,18,1,-0.3746,0.3159,-0.9938,0.2445,1.41,0.2357,0.8645576623,-0.540497608,0.4557738899,0.0632060358,0.6875337271
ENSMUSG00000020440,Arf5,Age,18,1,-0.0734,0.2443,-0.5522,0.4053,0.09,0.7637,0.9981578959,-0.105938482,0.3524148875,0.0008007534,0.9292002952
ENSMUSG00000020441,2310033P09Rik,Age,18,1,-0.1339,0.4048,-0.9274,0.6596,0.11,0.7408,0.9978539623,-0.193225041,0.584074759,0.0009330138,0.874648321
ENSMUSG00000020444,Guk1,Age,18,1,-0.0029,0.2871,-0.5657,0.5598,0.00,0.9918,0.9999208275,-0.004243311,0.4142176741,0.0000343855,0.9970630824
ENSMUSG00000020448,Rnf185,Age,18,1,0.8683,0.2377,0.4024,1.3342,13.34,0.0003,0.0680654638,1.2527019974,0.3429236129,1.1670731916,2.382872893
ENSMUSG00000020451,Limk2,Age,18,1,0.7840,0.3115,0.1734,1.3945,6.33,0.0118,0.3729252493,1.1310378364,0.4494125247,0.4283782113,2.1901623804
ENSMUSG00000020453,Patz1,Age,18,1,0.5935,0.3384,-0.0697,1.2567,3.08,0.0794,0.6754570806,0.8562887552,0.4881639354,0.1704022414,1.8103752359
ENSMUSG00000020454,Eif4enif1,Age,18,1,0.2919,0.3175,-0.3305,0.9142,0.84,0.3580,0.9281389473,0.4210604665,0.4581203737,0.0323870027,1.3389113725
ENSMUSG00000020455,Trim11,Age,18,1,0.0889,0.1927,-0.2888,0.4667,0.21,0.6446,0.9947192651,0.1282771105,0.2780549017,0.0022994708,1.0929876583
ENSMUSG00000020456,Ogdh,Age,18,1,0.1778,0.1577,-0.1314,0.4869,1.27,0.2597,0.8772954104,0.2564714464,0.2275635853,0.0568541427,1.1945534815
ENSMUSG00000020457,Drg1,Age,18,1,-0.0713,0.2126,-0.4880,0.3454,0.11,0.7374,0.9978539623,-0.102859573,0.3067521516,0.0009330138,0.9311854541
ENSMUSG00000020458,Rtn4,Age,18,1,-0.4444,0.2619,-0.9576,0.0689,2.88,0.0897,0.6854039993,-0.641087837,0.3777953396,0.1640533658,0.6412292598
ENSMUSG00000020459,Mtif2,Age,18,1,0.1296,0.4827,-0.8165,1.0758,0.07,0.7883,0.9981578959,0.1870266323,0.696441516,0.0008007534,1.1384150441
ENSMUSG00000020460,Rps27a,Age,18,1,0.1248,0.2148,-0.2961,0.5457,0.34,0.5611,0.98148849,0.1800597835,0.3098240663,0.0081147891,1.1329308316
ENSMUSG00000020462,Cfap36,Age,18,1,0.1118,0.3647,-0.6029,0.8266,0.09,0.7591,0.9981578959,0.1613529065,0.5261438151,0.0008007534,1.1183353804
ENSMUSG00000020463,Ppp4r3b,Age,18,1,0.7640,0.3810,0.0173,1.5108,4.02,0.0449,0.5735397772,1.1022791352,0.5496820932,0.2414364567,2.1469359255
ENSMUSG00000020464,Pnpt1,Age,18,1,-0.9440,0.8607,-2.6310,0.7430,1.20,0.2728,0.8840582955,-1.361849448,1.2417680594,0.0535190963,0.3890831888
ENSMUSG00000020471,Pold2,Age,18,1,0.4717,0.3067,-0.1295,1.0729,2.37,0.1241,0.741932826,0.6805563251,0.4425200382,0.1296354136,1.6027576837
ENSMUSG00000020472,Zkscan17,Age,18,1,0.7521,0.4157,-0.0626,1.5668,3.27,0.0704,0.6476065582,1.0850380911,0.5997161856,0.1886887619,2.1214314936
ENSMUSG00000020473,Aebp1,Age,18,1,-0.3674,1.1655,-2.6517,1.9169,0.10,0.7526,0.9981578959,-0.53004133,1.6814251454,0.0008007534,0.6925348943
ENSMUSG00000020474,Polm,Age,18,1,0.1265,0.5295,-0.9113,1.1643,0.06,0.8112,0.9981830775,0.1824382771,0.7639108747,0.0007897971,1.1348001741
ENSMUSG00000020476,Dbnl,Age,18,1,0.2610,0.1338,-0.0013,0.5232,3.80,0.0511,0.5883939693,0.376527977,0.1930406139,0.2303317872,1.2982137818
ENSMUSG00000020477,Mrps24,Age,18,1,0.0010,0.1849,-0.3614,0.3633,0.00,0.9959,0.9999208275,0.0013815731,0.2667329896,0.0000343855,1.0009580922
ENSMUSG00000020481,Ankrd36,Age,18,1,0.1090,1.0372,-1.9238,2.1418,0.01,0.9163,0.9999208275,0.157304261,1.4963083627,0.0000343855,1.1152013873
ENSMUSG00000020482,Ccdc117,Age,18,1,0.2044,0.5637,-0.9005,1.3092,0.13,0.7169,0.995805013,0.2948459512,0.813258836,0.0018256918,1.2267539793
ENSMUSG00000020483,Dynll2,Age,18,1,0.0624,0.1994,-0.3285,0.4533,0.10,0.7544,0.9981578959,0.0900153147,0.2877331431,0.0008007534,1.0643814812
ENSMUSG00000020484,Xbp1,Age,18,1,0.0610,0.2105,-0.3515,0.4735,0.08,0.7721,0.9981578959,0.0879344452,0.303634776,0.0008007534,1.0628473784
ENSMUSG00000020485,Supt4a,Age,18,1,-0.1678,0.1562,-0.4738,0.1383,1.15,0.2827,0.8874861686,-0.242025143,0.2252996702,0.0518384067,0.8455575508
ENSMUSG00000020490,Btnl10,Age,18,1,0.1086,0.3142,-0.5073,0.7244,0.12,0.7297,0.9969192278,0.1566327517,0.4533149848,0.0013400276,1.1146824323
ENSMUSG00000020491,2810021J22Rik,Age,18,1,3.0159,1.2274,0.6103,5.4215,6.04,0.0140,0.3944580547,4.3510343441,1.7707417958,0.4039991714,20.407596075
ENSMUSG00000020492,Ska2,Age,18,1,0.8310,0.7665,-0.6714,2.3333,1.18,0.2783,0.8853586091,1.1988155166,1.1058356131,0.0528807853,2.2955112724
ENSMUSG00000020493,Prr11,Age,18,1,0.2511,0.8478,-1.4105,1.9127,0.09,0.7671,0.9981578959,0.3622548513,1.223075484,0.0008007534,1.2854333885
ENSMUSG00000020495,Smg8,Age,18,1,0.2083,0.6638,-1.0927,1.5092,0.10,0.7537,0.9981578959,0.3004646061,0.9576026695,0.0008007534,1.2315409554
ENSMUSG00000020496,Rnf187,Age,18,1,-0.1560,0.0975,-0.3471,0.0351,2.56,0.1097,0.7161876725,-0.225042615,0.1406910397,0.1449731586,0.855569753
ENSMUSG00000020513,Tubd1,Age,18,1,0.7380,0.7647,-0.7608,2.2369,0.93,0.3345,0.9133945408,1.0647450158,1.1032805632,0.0393415884,2.0918001388
ENSMUSG00000020514,Mrpl22,Age,18,1,0.1215,0.5088,-0.8758,1.1188,0.06,0.8112,0.9981830775,0.1753118824,0.7340717129,0.0007897971,1.1292084912
ENSMUSG00000020515,Cnot8,Age,18,1,-0.0090,0.2364,-0.4724,0.4544,0.00,0.9697,0.9999208275,-0.012966584,0.3411061298,0.0000343855,0.9910525177
ENSMUSG00000020516,Rps6kb1,Age,18,1,-0.6025,0.3546,-1.2975,0.0925,2.89,0.0893,0.6851663353,-0.869278229,0.5115832689,0.1642039836,0.5474206532
ENSMUSG00000020519,Sap30l,Age,18,1,-0.1681,0.1923,-0.5450,0.2089,0.76,0.3821,0.9360672148,-0.242498055,0.2774579151,0.0286929654,0.8452804245
ENSMUSG00000020520,Galnt10,Age,18,1,-0.1260,0.1642,-0.4479,0.1958,0.59,0.4428,0.9589905459,-0.181843884,0.2369176532,0.0181856742,0.881575549
ENSMUSG00000020521,Rnft1,Age,18,1,0.0603,0.9076,-1.7186,1.8392,0.00,0.9470,0.9999208275,0.0869951623,1.309419045,0.0000343855,1.0621556248
ENSMUSG00000020522,Mfap3,Age,18,1,0.0565,0.1831,-0.3024,0.4154,0.10,0.7576,0.9981578959,0.0815356387,0.2641768482,0.0008007534,1.0581437546
ENSMUSG00000020523,Fam114a2,Age,18,1,-0.0500,0.1291,-0.3029,0.2030,0.15,0.6985,0.995805013,-0.072111829,0.1861935846,0.0018256918,0.9512445389
ENSMUSG00000020525,Ppm1d,Age,18,1,0.2601,0.1604,-0.0543,0.5744,2.63,0.1049,0.7112854537,0.3751960112,0.2313795031,0.1479560728,1.2970157612
ENSMUSG00000020526,Znhit3,Age,18,1,-0.7378,0.6623,-2.0359,0.5603,1.24,0.2653,0.8805818128,-1.06438741,0.9555001203,0.0552302885,0.4781756564
ENSMUSG00000020527,Myo19,Age,18,1,1.0098,1.2396,-1.4198,3.4394,0.66,0.4153,0.9494641536,1.4568236757,1.7883607319,0.0225214271,2.7450333475
ENSMUSG00000020528,Prpsap2,Age,18,1,0.6255,0.4925,-0.3397,1.5908,1.61,0.2040,0.8350194089,0.9024371656,0.710512955,0.0783034298,1.8692210195
